MiruRegion	[#Repeats, #PartialRepeats, ([StartPosition, EndPosition, (Partial%)], sub-fastaHeader)]	
miru02	[2, 0, ['298785', '298837'], ['298838', '298890'], 'CGDE01000001.1']	
miru04	[1, 1, ['2735165', '2735241'], ['2735242', '2735282', '0.5324675324675324'], 'CGDE01000001.1']	
miru10	[2, 0, ['3457382', '3457436'], ['3457437', '3457489'], 'CGDE01000001.1']	
miru16	[2, 0, ['3369748', '3369800'], ['4006214', '4006266'], 'CGDE01000001.1']	
miru20	[2, 0, ['2305522', '2305579'], ['2305599', '2305656'], 'CGDE01000001.1']	
miru23	[2, 0, ['1486647', '1486699'], ['1486700', '1486749'], 'CGDE01000001.1']	
miru24	[1, 1, ['2011505', '2011556'], ['2011557', '2011595', '0.7222222222222222'], 'CGDE01000001.1']	
miru26	[3, 4, ['2050292', '2050342'], ['3961233', '3961283'], ['3961284', '3961334'], ['2526032', '2526074', '0.8431372549019608'], ['3457392', '3457434', '0.8431372549019608'], ['2389868', '2389910', '0.8431372549019608'], ['2525979', '2526021', '0.8431372549019608'], 'CGDE01000001.1']	
miru27	[2, 0, ['2039279', '2039331'], ['2039332', '2039384'], 'CGDE01000001.1']	
miru31	[2, 5, ['701039', '701091'], ['2526030', '2526082'], ['2050292', '2050334', '0.8113207547169812'], ['700995', '701038', '0.8301886792452831'], ['2011510', '2011554', '0.8490566037735849'], ['2389868', '2389912', '0.8490566037735849'], ['2011566', '2011594', '0.5471698113207547'], 'CGDE01000001.1']	
miru39	[2, 0, ['677109', '677161'], ['677162', '677214'], 'CGDE01000001.1']	
miru40	[1, 0, ['417498', '417551'], 'CGDE01000001.1']	
Mtub04	[1, 0, ['2373675', '2373725'], 'CGDE01000001.1']	
ETRC	[2, 1, ['2731990', '2732047'], ['3237420', '3237477'], ['2732048', '2732084', '0.6379310344827587'], 'CGDE01000001.1']	
Mtub21	[1, 0, ['2319264', '2319320'], 'CGDE01000001.1']	
Qub11b	[3, 2, ['4101075', '4101143'], ['4101144', '4101212'], ['4236159', '4236227'], ['4101213', '4101266', '0.782608695652174'], ['4236228', '4236266', '0.5652173913043478'], 'CGDE01000001.1']	
ETRA	[3, 0, ['4099599', '4099673'], ['4099674', '4099748'], ['4099749', '4099823'], 'CGDE01000001.1']	
Mtub29	
Mtub30	[1, 0, ['2291390', '2291447'], 'CGDE01000001.1']	
ETRB	[1, 1, ['2210958', '2211014'], ['2211015', '2211047', '0.5789473684210527'], 'CGDE01000001.1']	
Mtub34	[1, 1, ['721750', '721803'], ['721699', '721749', '0.9444444444444444'], 'CGDE01000001.1']	
Mtub39	[2, 0, ['2888684', '2888741'], ['2888742', '2888799'], 'CGDE01000001.1']	
QUB26	
QUB4156	[1, 0, ['4182019', '4182077'], 'CGDE01000001.1']	
