MiruRegion	[#Repeats, #PartialRepeats, ([StartPosition, EndPosition, (Partial%)], sub-fastaHeader)]	
miru02	[2, 0, ['2399808', '2399860'], ['2399861', '2399913'], 'LHCK01000001.1']	
miru04	[2, 1, ['2826309', '2826385'], ['2826386', '2826462'], ['2826463', '2826503', '0.5324675324675324'], 'LHCK01000001.1']	
miru10	[3, 0, ['3206195', '3206247'], ['3206248', '3206300'], ['3206301', '3206355'], 'LHCK01000001.1']	
miru16	[3, 0, ['3895075', '3895127'], ['3895128', '3895180'], ['3895181', '3895233'], 'LHCK01000001.1']	
miru20	[2, 0, ['4292015', '4292072'], ['4292092', '4292149'], 'LHCK01000001.1']	
miru23	[8, 0, ['369903', '369955'], ['369956', '370008'], ['370009', '370061'], ['370062', '370114'], ['370115', '370167'], ['370168', '370220'], ['370221', '370273'], ['370274', '370323'], 'LHCK01000001.1']	
miru24	[1, 1, ['523999', '524050'], ['524051', '524089', '0.7222222222222222'], 'LHCK01000001.1']	
miru26	[12, 0, ['829984', '830034'], ['830035', '830085'], ['830086', '830136'], ['830137', '830187'], ['830188', '830238'], ['830239', '830289'], ['830290', '830340'], ['830341', '830391'], ['830392', '830442'], ['830443', '830493'], ['830494', '830544'], ['830545', '830595'], 'LHCK01000001.1']	
miru27	[3, 0, ['841503', '841555'], ['841556', '841608'], ['841609', '841661'], 'LHCK01000001.1']	
miru31	[5, 0, ['1020380', '1020432'], ['1020433', '1020485'], ['1020486', '1020538'], ['1020539', '1020591'], ['1020592', '1020644'], 'LHCK01000001.1']	
miru39	[3, 0, ['2184459', '2184511'], ['2184512', '2184564'], ['2184565', '2184617'], 'LHCK01000001.1']	
miru40	[3, 0, ['3048764', '3048817'], ['3048818', '3048871'], ['3048872', '3048925'], 'LHCK01000001.1']	
Mtub04	[4, 1, ['2669812', '2669862'], ['2669863', '2669913'], ['2669914', '2669964'], ['2669965', '2670015'], ['2670016', '2670045', '0.5882352941176471'], 'LHCK01000001.1']	
ETRC	[3, 1, ['2823018', '2823075'], ['2823076', '2823133'], ['2823134', '2823191'], ['2823192', '2823228', '0.6379310344827587'], 'LHCK01000001.1']	
Mtub21	[2, 1, ['4198590', '4198646'], ['4198647', '4198703'], ['4198704', '4198737', '0.5964912280701754'], 'LHCK01000001.1']	
Qub11b	[5, 0, ['4396448', '4396516'], ['4396517', '4396585'], ['4396586', '4396654'], ['4396655', '4396723'], ['4396724', '4396792'], 'LHCK01000001.1']	
ETRA	[5, 0, ['4398044', '4398118'], ['4398119', '4398193'], ['4398194', '4398268'], ['4398269', '4398343'], ['4398344', '4398418'], 'LHCK01000001.1']	
Mtub29	[3, 1, ['186573', '186629'], ['186630', '186686'], ['186687', '186743'], ['186744', '186791', '0.8421052631578947'], 'LHCK01000001.1']	
Mtub30	[3, 1, ['241116', '241173'], ['241174', '241231'], ['241232', '241289'], ['241290', '241342', '0.9137931034482759'], 'LHCK01000001.1']	
ETRB	[1, 0, ['299438', '299494'], 'LHCK01000001.1']	
Mtub34	[2, 1, ['999648', '999701'], ['999702', '999755'], ['999756', '999806', '0.9444444444444444'], 'LHCK01000001.1']	
Mtub39	[3, 0, ['1524648', '1524705'], ['1524706', '1524763'], ['1524764', '1524821'], 'LHCK01000001.1']	
QUB26	[3, 0, ['1889061', '1889171'], ['1889172', '1889282'], ['4504935', '4505045', 'Indeterminate'], 'LHCK01000001.1']	
QUB4156	[2, 0, ['1992627', '1992685'], ['1992686', '1992744'], 'LHCK01000001.1']	
